life_exp_both,life_exp_female,life_exp_male,urban_pop,urban_pop_percent,pop_density,country
66.5,68.1,64.9,11704638,26.7,67,Afghanistan
80.0,81.7,78.1,1948831,70.3,101,Albania
76.7,78.1,75.3,35291973,74.4,20,Algeria
65.0,67.5,62.4,26847887,68.8,31,Angola
77.9,80.6,74.9,26823,28.5,214,Antigua and Barbuda
77.7,80.2,75.1,44010474,96.0,17,Argentina
76.0,79.7,71.8,1882155,63.8,104,Armenia
76.6,79.1,74.0,48340,44.7,601,Aruba
84.2,86.0,82.4,23335357,86.5,4,Australia
82.3,84.6,80.0,5337973,58.6,111,Austria
